,0.1,0.5,0.9
0.01,0.0207,0.0235,0.0281
0.005,0.0378,0.0391,0.0342
0.001,0.0693,0.0708,0.0704
0.0005,0.0847,0.0905,0.0691
0.0001,0.0728,0.084,0.0657
