,0.1,0.5,0.9
0.01,0.042,0.0441,0.05
0.005,0.064,0.0647,0.0581
0.001,0.0999,0.105,0.102
0.0005,0.115,0.136,0.0981
0.0001,0.0987,0.111,0.0905
