,0.1,0.5,0.9
0.01,0.0206,0.0286,0.0309
0.005,0.0294,0.0377,0.0396
0.001,0.0779,0.0706,0.0658
0.0005,0.086,0.0811,0.0773
0.0001,0.0829,0.0779,0.0646
