,0.1,0.5,0.9
0.01,0.0862,0.0941,0.1
0.005,0.0761,0.0792,0.101
0.001,0.0221,0.0452,0.078
0.0005,0.00914,0.0171,0.0554
0.0001,0.00478,0.00558,0.0127
