,0.1,0.5,0.9
0.01,0.0628,0.0691,0.0733
0.005,0.0555,0.0573,0.0738
0.001,0.0146,0.0314,0.0579
0.0005,0.00575,0.0107,0.0402
0.0001,0.00291,0.00349,0.0078
